record_id,equipment_id,equipment_name,component,fault_message,symptoms,root_cause,action_taken,downtime_minutes,severity,days_since_overhaul
FH-0019,TSA-UTL-DCF-015,Dust Collection Fan,baghouse restriction,BAGHOUSE_RESTRICTION,"baghouse restriction pattern with vibration 5.33 mm/s, pressure 108.8 bar, oil quality 70.4",filter bag blinding,Inspect fan rotor,490,high,20
FH-0020,TSA-BF-CHG-021,Blast Furnace Charging Conveyor,belt misalignment,BELT_MISALIGNMENT,"belt misalignment pattern with vibration 6.65 mm/s, pressure 100.0 bar, oil quality 44.3",tracking drift,Inspect belt tracking,150,critical,130
FH-0021,TSA-SIN-CDR-012,Sinter Conveyor Drive,oil contamination,OIL_CONTAMINATION,"oil contamination pattern with vibration 5.1 mm/s, pressure 107.9 bar, oil quality 50.7",misalignment,Inspect coupling alignment,448,medium,138
FH-0022,HRM-ROLL-01,Finishing Mill Work Roll,bearing degradation,BEARING_DEGRADATION,"bearing degradation pattern with vibration 8.12 mm/s, pressure 110.2 bar, oil quality 34.7",bearing lubrication loss,Inspect work-roll bearing,387,critical,60
FH-0023,TSA-BF-BLR-004,Blast Furnace Blower,impeller imbalance,IMPELLER_IMBALANCE,"impeller imbalance pattern with vibration 4.43 mm/s, pressure 119.8 bar, oil quality 70.5",dust deposition on impeller,Validate inlet guide vane control,112,medium,35
FH-0024,TSA-UTL-GCP-011,Gas Compressor,compressor surge,COMPRESSOR_SURGE,"compressor surge pattern with vibration 5.45 mm/s, pressure 100.4 bar, oil quality 69.2",inlet filter restriction,Check separator differential pressure,559,high,220
FH-0025,TSA-SMS-APU-007,Argon Purging Unit,line restriction,LINE_RESTRICTION,"line restriction pattern with vibration 3.26 mm/s, pressure 115.1 bar, oil quality 68.8",line moisture ingress,Check regulator setting,501,low,247
FH-0026,TSA-SMS-EAF-022,Electric Arc Furnace Transformer,tap changer wear,TAP_CHANGER_WEAR,"tap changer wear pattern with vibration 4.59 mm/s, pressure 102.1 bar, oil quality 75.5",tap contact erosion,Run dissolved gas analysis,574,high,233
FH-0027,TSA-UTL-STG-019,Steam Turbine Generator,steam seal leakage,STEAM_SEAL_LEAKAGE,"steam seal leakage pattern with vibration 4.66 mm/s, pressure 119.5 bar, oil quality 66.8",gland seal wear,Trend shaft vibration,461,high,35
FH-0028,TSA-SIN-EFN-013,Sinter Exhaust Fan,fan imbalance,FAN_IMBALANCE,"fan imbalance pattern with vibration 6.54 mm/s, pressure 128.8 bar, oil quality 52.9",dust buildup,Inspect fan bearings,144,high,211
FH-0029,TSA-RM-HPP-003,Hydraulic Power Pack,pressure leak,PRESSURE_LEAK,"pressure leak pattern with vibration 5.32 mm/s, pressure 91.1 bar, oil quality 46.9",actuator seal leakage,Pressure decay test,500,critical,137
FH-0030,TSA-CCM-ROL-009,Continuous Casting Roller,roller bearing seizure,ROLLER_BEARING_SEIZURE,"roller bearing seizure pattern with vibration 7.99 mm/s, pressure 82.9 bar, oil quality 60.0",bearing water ingress,Check spray cooling,157,critical,154
FH-0031,TSA-CCM-ROL-009,Continuous Casting Roller,roller bearing seizure,ROLLER_BEARING_SEIZURE,"roller bearing seizure pattern with vibration 7.99 mm/s, pressure 82.9 bar, oil quality 60.0",bearing water ingress,Replace damaged bearing assembly,393,critical,94
FH-0032,TSA-RMH-CNV-014,Raw Material Conveyor,idler seizure,IDLER_SEIZURE,"idler seizure pattern with vibration 3.17 mm/s, pressure 114.2 bar, oil quality 77.2",idler bearing contamination,Align belt tracking,209,low,72
FH-0033,TSA-UTL-WTP-018,Water Treatment Pump,seal wear,SEAL_WEAR,"seal wear pattern with vibration 3.25 mm/s, pressure 125.1 bar, oil quality 80.5",seal face damage,Check seal leakage,367,low,125
FH-0034,TSA-SIN-SCR-023,Sinter Screen Drive,screen vibration imbalance,SCREEN_VIBRATION_IMBALANCE,"screen vibration imbalance pattern with vibration 4.1 mm/s, pressure 109.6 bar, oil quality 87.4",uneven material loading,Inspect screen exciter,142,medium,48
FH-0035,TSA-RM-HPP-003,Hydraulic Power Pack,pressure leak,PRESSURE_LEAK,"pressure leak pattern with vibration 5.32 mm/s, pressure 91.1 bar, oil quality 46.9",actuator seal leakage,Pressure decay test,289,critical,245
FH-0036,TSA-UTL-STG-019,Steam Turbine Generator,steam seal leakage,STEAM_SEAL_LEAKAGE,"steam seal leakage pattern with vibration 4.66 mm/s, pressure 119.5 bar, oil quality 66.8",gland seal wear,Trend shaft vibration,232,high,93
FH-0037,TSA-BF-CHG-021,Blast Furnace Charging Conveyor,belt misalignment,BELT_MISALIGNMENT,"belt misalignment pattern with vibration 6.65 mm/s, pressure 100.0 bar, oil quality 44.3",tracking drift,Inspect belt tracking,580,critical,56
FH-0038,HRM-ROLL-01,Finishing Mill Work Roll,bearing degradation,BEARING_DEGRADATION,"bearing degradation pattern with vibration 8.12 mm/s, pressure 110.2 bar, oil quality 34.7",bearing lubrication loss,Restore lubrication flow,501,critical,92
FH-0039,TSA-SMS-APU-007,Argon Purging Unit,line restriction,LINE_RESTRICTION,"line restriction pattern with vibration 3.26 mm/s, pressure 115.1 bar, oil quality 68.8",line moisture ingress,Check regulator setting,100,low,91
FH-0040,TSA-SIN-EFN-013,Sinter Exhaust Fan,fan imbalance,FAN_IMBALANCE,"fan imbalance pattern with vibration 6.54 mm/s, pressure 128.8 bar, oil quality 52.9",dust buildup,Clean fan rotor,255,high,65
FH-0041,TSA-BF-CPM-005,Blast Furnace Cooling Pump,low flow,LOW_FLOW,"low flow pattern with vibration 3.7 mm/s, pressure 95.8 bar, oil quality 66.8",impeller erosion,Check suction pressure,544,high,129
FH-0042,TSA-SMS-APU-007,Argon Purging Unit,control valve drift,CONTROL_VALVE_DRIFT,"control valve drift pattern with vibration 3.26 mm/s, pressure 115.1 bar, oil quality 68.8",flow-meter fouling,Check regulator setting,205,low,216
FH-0043,TSA-SIN-SCR-023,Sinter Screen Drive,exciter bearing wear,EXCITER_BEARING_WEAR,"exciter bearing wear pattern with vibration 4.1 mm/s, pressure 109.6 bar, oil quality 87.4",bearing fatigue,Check deck clogging,264,medium,23
FH-0044,TSA-UTL-STG-019,Steam Turbine Generator,bearing oil contamination,BEARING_OIL_CONTAMINATION,"bearing oil contamination pattern with vibration 4.66 mm/s, pressure 119.5 bar, oil quality 66.8",oil varnish formation,Inspect steam seal leakage,351,high,141
FH-0045,TSA-BF-CHG-021,Blast Furnace Charging Conveyor,belt misalignment,BELT_MISALIGNMENT,"belt misalignment pattern with vibration 6.65 mm/s, pressure 100.0 bar, oil quality 44.3",tracking drift,Inspect belt tracking,558,critical,221
FH-0046,TSA-UTL-STG-019,Steam Turbine Generator,bearing oil contamination,BEARING_OIL_CONTAMINATION,"bearing oil contamination pattern with vibration 4.66 mm/s, pressure 119.5 bar, oil quality 66.8",oil varnish formation,Inspect steam seal leakage,228,high,215
FH-0047,TSA-SIN-SCR-023,Sinter Screen Drive,exciter bearing wear,EXCITER_BEARING_WEAR,"exciter bearing wear pattern with vibration 4.1 mm/s, pressure 109.6 bar, oil quality 87.4",bearing fatigue,Balance screen drive,490,medium,155
FH-0048,TSA-CKE-EFN-010,Coke Oven Exhaust Fan,fan imbalance,FAN_IMBALANCE,"fan imbalance pattern with vibration 5.33 mm/s, pressure 137.4 bar, oil quality 82.4",dust buildup,Inspect fan bearings,356,medium,36
FH-0049,TSA-UTL-WTP-018,Water Treatment Pump,pump bearing noise,PUMP_BEARING_NOISE,"pump bearing noise pattern with vibration 3.25 mm/s, pressure 125.1 bar, oil quality 80.5",bearing contamination,Inspect discharge pressure,339,low,170
FH-0050,HRM-COIL-03,Down Coiler Mandrel,mandrel expansion failure,MANDREL_EXPANSION_FAILURE,"mandrel expansion failure pattern with vibration 5.54 mm/s, pressure 76.0 bar, oil quality 57.1",worn mandrel segment,Inspect mandrel segments,422,critical,136
FH-0051,TSA-CCM-ROL-009,Continuous Casting Roller,roller bearing seizure,ROLLER_BEARING_SEIZURE,"roller bearing seizure pattern with vibration 7.99 mm/s, pressure 82.9 bar, oil quality 60.0",bearing water ingress,Replace damaged bearing assembly,472,critical,109
FH-0052,TSA-BF-CHG-021,Blast Furnace Charging Conveyor,belt misalignment,BELT_MISALIGNMENT,"belt misalignment pattern with vibration 6.65 mm/s, pressure 100.0 bar, oil quality 44.3",tracking drift,Inspect belt tracking,370,critical,97
FH-0053,TSA-UTL-STG-019,Steam Turbine Generator,bearing oil contamination,BEARING_OIL_CONTAMINATION,"bearing oil contamination pattern with vibration 4.66 mm/s, pressure 119.5 bar, oil quality 66.8",oil varnish formation,Analyze turbine oil,458,high,184
FH-0054,TSA-UTL-STG-019,Steam Turbine Generator,blade vibration,BLADE_VIBRATION,"blade vibration pattern with vibration 4.66 mm/s, pressure 119.5 bar, oil quality 66.8",rotor imbalance,Trend shaft vibration,443,high,77
FH-0055,TSA-SIN-CDR-012,Sinter Conveyor Drive,oil contamination,OIL_CONTAMINATION,"oil contamination pattern with vibration 5.1 mm/s, pressure 107.9 bar, oil quality 50.7",misalignment,Check belt loading,258,medium,135
FH-0056,TSA-UTL-GCP-011,Gas Compressor,compressor surge,COMPRESSOR_SURGE,"compressor surge pattern with vibration 5.45 mm/s, pressure 100.4 bar, oil quality 69.2",inlet filter restriction,Check separator differential pressure,279,high,71
FH-0057,TSA-BF-HBV-006,Hot Blast Valve,valve sticking,VALVE_STICKING,"valve sticking pattern with vibration 3.25 mm/s, pressure 93.4 bar, oil quality 68.0",scale buildup,Stroke-test valve,327,high,196
FH-0058,TSA-RM-CNV-020,Rolling Mill Conveyor System,drive pulley wear,DRIVE_PULLEY_WEAR,"drive pulley wear pattern with vibration 4.53 mm/s, pressure 128.7 bar, oil quality 72.3",pulley lagging wear,Check pulley lagging,475,medium,241
FH-0059,TSA-SIN-EFN-013,Sinter Exhaust Fan,fan imbalance,FAN_IMBALANCE,"fan imbalance pattern with vibration 6.54 mm/s, pressure 128.8 bar, oil quality 52.9",dust buildup,Inspect fan bearings,304,high,90
FH-0060,TSA-RM-CNV-020,Rolling Mill Conveyor System,drive pulley wear,DRIVE_PULLEY_WEAR,"drive pulley wear pattern with vibration 4.53 mm/s, pressure 128.7 bar, oil quality 72.3",pulley lagging wear,Check pulley lagging,121,high,234
FH-0061,TSA-SMS-LTC-008,Ladle Transfer Car,position encoder fault,POSITION_ENCODER_FAULT,"position encoder fault pattern with vibration 4.18 mm/s, pressure 100.3 bar, oil quality 89.4",encoder contamination,Check encoder feedback,386,medium,142
FH-0062,TSA-SIN-EFN-013,Sinter Exhaust Fan,fan imbalance,FAN_IMBALANCE,"fan imbalance pattern with vibration 6.54 mm/s, pressure 128.8 bar, oil quality 52.9",dust buildup,Inspect fan bearings,198,high,119
FH-0063,TSA-CKE-EFN-010,Coke Oven Exhaust Fan,fan imbalance,FAN_IMBALANCE,"fan imbalance pattern with vibration 5.33 mm/s, pressure 137.4 bar, oil quality 82.4",dust buildup,Clean fan rotor,389,medium,89
FH-0064,HRM-COIL-03,Down Coiler Mandrel,mandrel expansion failure,MANDREL_EXPANSION_FAILURE,"mandrel expansion failure pattern with vibration 5.54 mm/s, pressure 76.0 bar, oil quality 57.1",worn mandrel segment,Test expansion valve leakage,586,medium,61
FH-0065,TSA-RM-GBX-002,Rolling Mill Gearbox,oil contamination,OIL_CONTAMINATION,"oil contamination pattern with vibration 5.2 mm/s, pressure 105.4 bar, oil quality 34.5",gear tooth pitting,Borescope gear teeth,343,medium,142
FH-0066,TSA-SIN-EFN-013,Sinter Exhaust Fan,fan imbalance,FAN_IMBALANCE,"fan imbalance pattern with vibration 6.54 mm/s, pressure 128.8 bar, oil quality 52.9",dust buildup,Inspect fan bearings,188,medium,76
FH-0067,TSA-SMS-APU-007,Argon Purging Unit,low argon flow,LOW_ARGON_FLOW,"low argon flow pattern with vibration 3.26 mm/s, pressure 115.1 bar, oil quality 68.8",regulator drift,Validate flow meter,193,high,132
FH-0068,TSA-SMS-APU-007,Argon Purging Unit,control valve drift,CONTROL_VALVE_DRIFT,"control valve drift pattern with vibration 3.26 mm/s, pressure 115.1 bar, oil quality 68.8",flow-meter fouling,Validate flow meter,423,medium,251
FH-0069,TSA-UTL-WTP-018,Water Treatment Pump,seal wear,SEAL_WEAR,"seal wear pattern with vibration 3.25 mm/s, pressure 125.1 bar, oil quality 80.5",seal face damage,Check seal leakage,128,medium,54
FH-0070,TSA-UTL-AHU-016,Air Handling Unit,low airflow,LOW_AIRFLOW,"low airflow pattern with vibration 3.45 mm/s, pressure 111.2 bar, oil quality 85.7",damper position drift,Replace filters,530,low,24
FH-0071,TSA-UTL-AHU-016,Air Handling Unit,low airflow,LOW_AIRFLOW,"low airflow pattern with vibration 3.45 mm/s, pressure 111.2 bar, oil quality 85.7",damper position drift,Replace filters,453,high,219
FH-0072,TSA-BF-BLR-004,Blast Furnace Blower,bearing temperature rise,BEARING_TEMPERATURE_RISE,"bearing temperature rise pattern with vibration 4.43 mm/s, pressure 119.8 bar, oil quality 70.5",bearing lubrication degradation,Inspect bearing lubrication,476,medium,80
FH-0073,TSA-UTL-GCP-011,Gas Compressor,compressor surge,COMPRESSOR_SURGE,"compressor surge pattern with vibration 5.45 mm/s, pressure 100.4 bar, oil quality 69.2",inlet filter restriction,Trend discharge pressure,569,high,185
FH-0074,TSA-RMH-CNV-014,Raw Material Conveyor,pulley lagging wear,PULLEY_LAGGING_WEAR,"pulley lagging wear pattern with vibration 3.17 mm/s, pressure 114.2 bar, oil quality 77.2",material carryback,Align belt tracking,319,high,144
FH-0075,TSA-SMS-EAF-022,Electric Arc Furnace Transformer,tap changer wear,TAP_CHANGER_WEAR,"tap changer wear pattern with vibration 4.59 mm/s, pressure 102.1 bar, oil quality 75.5",tap contact erosion,Run dissolved gas analysis,564,high,118
FH-0076,TSA-RM-CNV-020,Rolling Mill Conveyor System,belt misalignment,BELT_MISALIGNMENT,"belt misalignment pattern with vibration 4.53 mm/s, pressure 128.7 bar, oil quality 72.3",tracking drift,Check pulley lagging,357,medium,76
FH-0077,TSA-RM-MTR-001,Rolling Mill Drive Motor,overheating,OVERHEATING,"overheating pattern with vibration 4.97 mm/s, pressure 106.7 bar, oil quality 55.6",rotor eccentricity,Perform insulation resistance test,427,high,161
FH-0078,TSA-SMS-LTC-008,Ladle Transfer Car,drive chain wear,DRIVE_CHAIN_WEAR,"drive chain wear pattern with vibration 4.18 mm/s, pressure 100.3 bar, oil quality 89.4",rail misalignment,Inspect rails and wheels,245,high,150
FH-0079,TSA-RMH-CNV-014,Raw Material Conveyor,idler seizure,IDLER_SEIZURE,"idler seizure pattern with vibration 3.17 mm/s, pressure 114.2 bar, oil quality 77.2",idler bearing contamination,Inspect idlers,286,high,184
FH-0080,TSA-BF-CPM-005,Blast Furnace Cooling Pump,seal leakage,SEAL_LEAKAGE,"seal leakage pattern with vibration 3.7 mm/s, pressure 95.8 bar, oil quality 66.8",mechanical seal wear,Inspect mechanical seal,134,high,259
FH-0081,TSA-CCM-ROL-009,Continuous Casting Roller,roller bearing seizure,ROLLER_BEARING_SEIZURE,"roller bearing seizure pattern with vibration 7.99 mm/s, pressure 82.9 bar, oil quality 60.0",bearing water ingress,Check spray cooling,484,high,57
FH-0082,TSA-UTL-CTP-017,Cooling Tower Pump,pump cavitation,PUMP_CAVITATION,"pump cavitation pattern with vibration 4.9 mm/s, pressure 106.5 bar, oil quality 79.0",blocked suction strainer,Inspect mechanical seal,444,high,48
FH-0083,HRM-ROLL-01,Finishing Mill Work Roll,bearing degradation,BEARING_DEGRADATION,"bearing degradation pattern with vibration 8.12 mm/s, pressure 110.2 bar, oil quality 34.7",bearing lubrication loss,Inspect work-roll bearing,255,medium,88
FH-0084,TSA-UTL-GCP-011,Gas Compressor,compressor surge,COMPRESSOR_SURGE,"compressor surge pattern with vibration 5.45 mm/s, pressure 100.4 bar, oil quality 69.2",inlet filter restriction,Check separator differential pressure,474,medium,204
FH-0085,TSA-UTL-DCF-015,Dust Collection Fan,baghouse restriction,BAGHOUSE_RESTRICTION,"baghouse restriction pattern with vibration 5.33 mm/s, pressure 108.8 bar, oil quality 70.4",filter bag blinding,Seal duct leakage,312,medium,114
FH-0086,TSA-RMH-CNV-014,Raw Material Conveyor,idler seizure,IDLER_SEIZURE,"idler seizure pattern with vibration 3.17 mm/s, pressure 114.2 bar, oil quality 77.2",idler bearing contamination,Clean carryback points,393,high,153
FH-0087,TSA-BF-BLR-004,Blast Furnace Blower,surge instability,SURGE_INSTABILITY,"surge instability pattern with vibration 4.43 mm/s, pressure 119.8 bar, oil quality 70.5",inlet guide vane drift,Inspect bearing lubrication,445,high,85
FH-0088,TSA-UTL-GCP-011,Gas Compressor,compressor surge,COMPRESSOR_SURGE,"compressor surge pattern with vibration 5.45 mm/s, pressure 100.4 bar, oil quality 69.2",inlet filter restriction,Inspect inlet filter,340,high,196
FH-0089,TSA-UTL-WTP-018,Water Treatment Pump,seal wear,SEAL_WEAR,"seal wear pattern with vibration 3.25 mm/s, pressure 125.1 bar, oil quality 80.5",seal face damage,Inspect discharge pressure,249,low,45
FH-0090,TSA-SIN-SCR-023,Sinter Screen Drive,deck clogging,DECK_CLOGGING,"deck clogging pattern with vibration 4.1 mm/s, pressure 109.6 bar, oil quality 87.4",screen aperture blinding,Balance screen drive,455,high,89
FH-0091,TSA-UTL-DCF-015,Dust Collection Fan,baghouse restriction,BAGHOUSE_RESTRICTION,"baghouse restriction pattern with vibration 5.33 mm/s, pressure 108.8 bar, oil quality 70.4",filter bag blinding,Inspect fan rotor,127,high,240
FH-0092,TSA-BF-BLR-004,Blast Furnace Blower,bearing temperature rise,BEARING_TEMPERATURE_RISE,"bearing temperature rise pattern with vibration 4.43 mm/s, pressure 119.8 bar, oil quality 70.5",bearing lubrication degradation,Validate inlet guide vane control,432,high,188
FH-0093,TSA-SIN-CDR-012,Sinter Conveyor Drive,oil contamination,OIL_CONTAMINATION,"oil contamination pattern with vibration 5.1 mm/s, pressure 107.9 bar, oil quality 50.7",material buildup,Check belt loading,479,high,152
FH-0094,TSA-RM-MTR-001,Rolling Mill Drive Motor,overheating,OVERHEATING,"overheating pattern with vibration 4.97 mm/s, pressure 106.7 bar, oil quality 55.6",rotor eccentricity,Thermography on stator body,279,high,224
FH-0095,TSA-RMH-CNV-014,Raw Material Conveyor,idler seizure,IDLER_SEIZURE,"idler seizure pattern with vibration 3.17 mm/s, pressure 114.2 bar, oil quality 77.2",idler bearing contamination,Clean carryback points,87,high,99
FH-0096,TSA-RM-CNV-020,Rolling Mill Conveyor System,belt misalignment,BELT_MISALIGNMENT,"belt misalignment pattern with vibration 4.53 mm/s, pressure 128.7 bar, oil quality 72.3",tracking drift,Replace seized idlers,479,high,211
FH-0097,TSA-SIN-EFN-013,Sinter Exhaust Fan,fan imbalance,FAN_IMBALANCE,"fan imbalance pattern with vibration 6.54 mm/s, pressure 128.8 bar, oil quality 52.9",dust buildup,Inspect fan bearings,161,medium,123
FH-0098,TSA-BF-CPM-005,Blast Furnace Cooling Pump,low flow,LOW_FLOW,"low flow pattern with vibration 3.7 mm/s, pressure 95.8 bar, oil quality 66.8",impeller erosion,Inspect mechanical seal,574,medium,25
FH-0099,TSA-CCM-ROL-009,Continuous Casting Roller,roller bearing seizure,ROLLER_BEARING_SEIZURE,"roller bearing seizure pattern with vibration 7.99 mm/s, pressure 82.9 bar, oil quality 60.0",bearing water ingress,Replace damaged bearing assembly,259,high,36
FH-0100,HRM-ROLL-01,Finishing Mill Work Roll,bearing degradation,BEARING_DEGRADATION,"bearing degradation pattern with vibration 8.12 mm/s, pressure 110.2 bar, oil quality 34.7",bearing lubrication loss,Inspect work-roll bearing,212,critical,165
FH-0101,TSA-UTL-GCP-011,Gas Compressor,compressor surge,COMPRESSOR_SURGE,"compressor surge pattern with vibration 5.45 mm/s, pressure 100.4 bar, oil quality 69.2",inlet filter restriction,Trend discharge pressure,493,high,246
FH-0102,TSA-BF-CHG-021,Blast Furnace Charging Conveyor,belt misalignment,BELT_MISALIGNMENT,"belt misalignment pattern with vibration 6.65 mm/s, pressure 100.0 bar, oil quality 44.3",tracking drift,Replace seized idlers,171,medium,47
FH-0103,TSA-UTL-GCP-011,Gas Compressor,compressor surge,COMPRESSOR_SURGE,"compressor surge pattern with vibration 5.45 mm/s, pressure 100.4 bar, oil quality 69.2",inlet filter restriction,Check separator differential pressure,328,high,81
FH-0104,TSA-RM-MTR-001,Rolling Mill Drive Motor,overheating,OVERHEATING,"overheating pattern with vibration 4.97 mm/s, pressure 106.7 bar, oil quality 55.6",rotor eccentricity,Inspect rotor balance and cooling fan,431,medium,250
FH-0105,HRM-ROLL-01,Finishing Mill Work Roll,bearing degradation,BEARING_DEGRADATION,"bearing degradation pattern with vibration 8.12 mm/s, pressure 110.2 bar, oil quality 34.7",bearing lubrication loss,Inspect work-roll bearing,465,medium,92
FH-0106,TSA-CCM-ROL-009,Continuous Casting Roller,roller bearing seizure,ROLLER_BEARING_SEIZURE,"roller bearing seizure pattern with vibration 7.99 mm/s, pressure 82.9 bar, oil quality 60.0",bearing water ingress,Replace damaged bearing assembly,572,high,84
FH-0107,TSA-SMS-LTC-008,Ladle Transfer Car,position encoder fault,POSITION_ENCODER_FAULT,"position encoder fault pattern with vibration 4.18 mm/s, pressure 100.3 bar, oil quality 89.4",encoder contamination,Check encoder feedback,201,medium,227
FH-0108,HRM-COIL-03,Down Coiler Mandrel,mandrel expansion failure,MANDREL_EXPANSION_FAILURE,"mandrel expansion failure pattern with vibration 5.54 mm/s, pressure 76.0 bar, oil quality 57.1",worn mandrel segment,Inspect mandrel segments,324,high,82
FH-0109,TSA-UTL-CTP-017,Cooling Tower Pump,low flow,LOW_FLOW,"low flow pattern with vibration 4.9 mm/s, pressure 106.5 bar, oil quality 79.0",impeller erosion,Check suction pressure,440,medium,213
FH-0110,TSA-CKE-EFN-010,Coke Oven Exhaust Fan,fan imbalance,FAN_IMBALANCE,"fan imbalance pattern with vibration 5.33 mm/s, pressure 137.4 bar, oil quality 82.4",dust buildup,Clean fan rotor,108,high,191
FH-0111,TSA-RMH-CNV-014,Raw Material Conveyor,pulley lagging wear,PULLEY_LAGGING_WEAR,"pulley lagging wear pattern with vibration 3.17 mm/s, pressure 114.2 bar, oil quality 77.2",material carryback,Align belt tracking,375,medium,258
FH-0112,TSA-BF-CHG-021,Blast Furnace Charging Conveyor,belt misalignment,BELT_MISALIGNMENT,"belt misalignment pattern with vibration 6.65 mm/s, pressure 100.0 bar, oil quality 44.3",tracking drift,Inspect belt tracking,140,high,162
FH-0113,TSA-SIN-SCR-023,Sinter Screen Drive,exciter bearing wear,EXCITER_BEARING_WEAR,"exciter bearing wear pattern with vibration 4.1 mm/s, pressure 109.6 bar, oil quality 87.4",bearing fatigue,Check deck clogging,455,medium,239
FH-0114,TSA-SIN-SCR-023,Sinter Screen Drive,deck clogging,DECK_CLOGGING,"deck clogging pattern with vibration 4.1 mm/s, pressure 109.6 bar, oil quality 87.4",screen aperture blinding,Balance screen drive,387,high,177
FH-0115,TSA-UTL-GCP-011,Gas Compressor,compressor surge,COMPRESSOR_SURGE,"compressor surge pattern with vibration 5.45 mm/s, pressure 100.4 bar, oil quality 69.2",inlet filter restriction,Trend discharge pressure,129,high,167
